mu,sigma2
8.181680233896351,4.368364031089047
7.7845411994376805,2.278466909362058
7.527861590579571,3.0243521588964253
8.678078302100664,5.417812851885065
8.072324082794909,2.9682772790907026
7.451763065316682,3.8099089838750846
7.365063832409376,3.7902877181505503
8.559485202665158,2.325062725000994
7.9468796389205165,3.790423991342607
7.801404636118877,3.370741070801498
7.262283638219385,3.080238766986974
8.333795927823513,3.2440041484729116
7.803760753472068,2.940734099798548
7.515001687675627,2.48667550825731
7.795101880913426,2.618770567266628
7.736932717020942,1.855328439015117
8.139102617013483,4.961777953797003
8.138396751879364,3.75286701837482
8.888960560504028,3.7234363900709337
7.422870175693992,4.710073776301037
7.852002862334185,4.864425917791821
8.025606798147429,2.6879474380390875
8.469993198495043,4.307744750403847
7.659800821163287,1.5027937872798864
8.23922032099702,2.994235446964273
7.680914953901411,3.4434286583490348
7.916522595661437,2.4454161390695868
7.500137267085349,2.282722890140396
7.958325571988292,2.6713545212926446
7.87756338932076,2.936184144289772
8.36653256908522,3.8619929306629515
7.613566949994263,1.8503845258119818
9.088518960551102,2.7054033325435456
7.903881645439662,1.761245618043491
7.634757940191851,2.464896219278976
6.9174471606339525,6.730828593424771
7.153594838863219,4.51904782900857
8.22021203452967,2.8543650607515167
8.082233009673736,3.6454821078709703
7.785726501071433,1.8335964584104822
8.028000055039193,5.1434651161487
7.360709906830884,1.9455507603905864
7.851832452872688,5.093310603903702
7.629368377759715,2.2738515001891404
7.935284186815609,4.018208589774361
8.190327003290822,4.5496422475260285
7.56249678635269,3.560576351386848
7.852782421248679,3.5210860699363598
8.073672754270616,2.380523112892588
7.395742908783471,5.876884309463018
7.798796301595546,1.6671393058025636
8.055892050098631,3.340899196841652
6.978782930335295,7.538882182512831
7.887719231368947,2.4595899046141976
7.6047492439602085,2.774657132610692
7.832516513969494,2.3249158990069896
7.345877161335071,3.4822628035770995
8.035345451927796,1.5560240159302579
7.465244134824533,2.431900104224632
7.995394729565535,2.7687041471096605
7.6934576429493555,3.1299590109536792
8.031539504746771,2.7862038578176542
8.519741406584922,3.743886048361713
8.217964972127762,4.0198894046852836
8.100313200367316,1.6756442069048898
7.651310193755577,4.203362969209459
8.137087802175046,1.6863003016767473
7.6175666610582295,5.097871950458262
8.650791270195365,3.5618009504500274
7.766648357655994,1.7654473119895933
8.012807937849086,2.3670337118135754
7.989898815107169,2.840761162756463
8.265958609870491,1.3576412933136481
8.220726984577222,3.5361488563470163
7.616014990198681,2.131043994278793
7.681650359357785,4.763817316364954
7.580170068919175,2.6570623464035803
7.8576024888676415,3.210253506832782
6.749510883787308,2.601658723421555
7.632568151179755,2.2946323221868146
8.015259819141711,3.3769604806931905
8.57507112897015,2.9621732151672924
6.878216392405277,4.272530697334125
7.447637744679144,2.3759035058026963
8.131389214117554,2.5750539168849373
8.63546171315118,5.556108912240122
7.8799588031801155,6.906720361096714
7.367387503104068,4.925951235961175
7.0352166869817285,2.072268023528542
8.881567195997532,3.109017215813221
8.040782159834501,3.1576802570455302
7.570121148447603,2.2593886084928805
7.305911839285881,2.0097743769095415
7.2195533631589335,2.6317904026321575
7.41653183203247,1.7670869657596535
7.711813582350319,1.605245764517695
7.708725373416953,2.3902279321109576
8.50744415092943,1.9719808951700222
7.83554759410466,3.1368449741966615
7.75254780014763,1.9542134650554193
7.7563760323012545,1.8908752333991237
7.502940863750897,2.540736096499813
7.953178164978728,2.4623482498921594
8.213566790005626,2.5448673090635014
8.23019773701195,3.804430412122998
7.654132560528615,2.212541353445028
8.729363573083626,2.3526177514451483
8.120566786351025,3.5979649015534347
8.192809281154434,2.2281562973703695
7.908655357554251,2.928324269734736
8.144039888955103,2.810588224990324
7.099711172570214,1.841002921588856
7.726854375229764,3.224729512180032
8.92309092043677,3.8305699953403174
7.7817255622689725,3.166198481658399
8.276772163956219,2.581911709483632
7.764023421160095,3.483037031051542
8.089767087136275,2.32970550864494
7.603238655842512,3.4273319377088187
7.460423064203165,4.771500560974739
7.918886263103953,2.7389026754336574
8.53304961876438,4.937042737532249
8.103151440527727,3.364168544829979
8.376872692313896,5.957248801343419
7.849693507025795,1.9204875886763644
7.865631387237508,3.440542313738063
7.085757214480159,4.30268564467624
8.181425939403587,4.016424623978371
8.167449071801165,1.571344042249385
8.165354814436116,7.939081490178717
8.21088393594803,3.896585225803091
7.848826313291816,2.411559323448422
7.557493433089405,2.6578107804440254
8.215534310370082,2.5643096450309315
7.737040193263251,3.1894073825659808
7.94574976659982,1.969520981174507
7.376949011804485,1.8688590638541889
7.938668742039695,3.7717949731980203
8.867431163039166,4.584312031271243
8.118350566710266,2.3384840958941164
8.271342776577812,3.10936250817037
7.404863533704164,5.715996086986844
7.878746204290461,3.5531247617514117
8.2597838927251,1.9405801877420794
7.590184832406284,2.366865379086992
8.951741752016638,4.467877891260395
7.9893227328692245,2.6202492090569995
7.606312544492657,4.41159133355221
7.783373822912818,2.7679559205306887
8.238128780234726,4.423258776461861
6.72770937244103,7.748997031149196
7.134893589772649,3.681360502954333
8.347043376034101,3.521327228672527
7.5861395651310435,3.6607013119033445
7.921309213346908,3.226116946492334
8.375264080051284,5.402756743631536
