state,state_po,county_name,fips,totalvotes2020,democrat2020,republican2020,twoparty2020,gop_pct2020,dem_pct2020,totalvotes2016,democrat2016,republican2016,twoparty2016,gop_pct2016,dem_pct2016,pct_change_gop,pct_change_dem
ALABAMA,AL,LAWRENCE,01079,16031,3562,12322,15884,77.5749181566356,22.425081843364392,14829,3627,10833,14460,74.91701244813278,25.08298755186722,3.5477999210699496,-10.596447903212269
ALABAMA,AL,LEE,01081,71449,27860,42221,70081,60.246001055921006,39.753998944078994,59191,21230,34617,55847,61.98542446326571,38.01457553673429,-2.806181327959656,4.575674942533192
ALABAMA,AL,LIMESTONE,01083,49235,13672,34640,48312,71.70061268421924,28.29938731578076,40294,9468,29067,38535,75.43012845465161,24.569871545348384,-4.944331723728334,15.17922372344862
ALABAMA,AL,LOWNDES,01085,6835,4972,1836,6808,26.968272620446534,73.03172737955347,6684,4883,1751,6634,26.39433222791679,73.60566777208321,2.1744834746101116,-0.7797502691055169
ALABAMA,AL,MACON,01087,8723,7108,1541,8649,17.817088680772343,82.18291131922766,9140,7566,1431,8997,15.905301767255752,84.09469823274425,12.019809127120041,-2.2733738912118384
ALABAMA,AL,MADISON,01089,194767,87286,102780,190066,54.07595256384624,45.92404743615376,163389,62822,89520,152342,58.76252116947395,41.23747883052605,-7.9754382765698795,11.36482815762847
ALABAMA,AL,MARENGO,01091,10900,5488,5343,10831,49.33062505770474,50.66937494229526,10994,5615,5233,10848,48.23930678466077,51.76069321533923,2.262300903111214,-2.10839191914175
ALABAMA,AL,MARION,01093,13807,1463,12205,13668,89.2961662276851,10.703833772314896,12984,1432,11274,12706,88.7297339839446,11.270266016055407,0.6383792876500705,-5.025899503468533
ALABAMA,AL,MARSHALL,01095,39655,5943,33191,39134,84.81371697245362,15.186283027546379,35316,4917,29233,34150,85.601756954612,14.398243045387995,-0.9205885605551467,5.473167661319667
ALABAMA,AL,MOBILE,01097,183164,79474,101243,180717,56.022953014934956,43.977046985065044,172737,72186,95116,167302,56.852876833510656,43.147123166489344,-1.459774535255387,1.9234742844228991
ALABAMA,AL,MONROE,01099,10668,4455,6147,10602,57.97962648556876,42.02037351443124,10271,4332,5795,10127,57.22326454033771,42.77673545966229,1.3217734977316375,-1.768161915825217
ALABAMA,AL,MONTGOMERY,01101,99139,64529,33311,97840,34.04640228945217,65.95359771054784,95878,58916,34003,92919,36.59423799222979,63.40576200777021,-6.962395837614155,4.018303103849452
ALABAMA,AL,MORGAN,01103,53722,13234,39664,52898,74.98204090891905,25.017959091080947,50644,11254,37486,48740,76.91013541239228,23.089864587607714,-2.5069446219731506,8.350393291210722
ALABAMA,AL,PERRY,01105,5230,3860,1339,5199,25.75495287555299,74.24504712444701,5278,3824,1407,5231,26.89734276428981,73.10265723571018,-4.247222109440152,1.5627200596188162
ALABAMA,AL,PICKENS,01107,9668,4022,5594,9616,58.173876871880196,41.826123128119804,9542,3972,5456,9428,57.87017394993636,42.12982605006364,0.5248004303677556,-0.7208739043520929
ALABAMA,AL,PIKE,01109,13841,5636,8042,13678,58.795145489106595,41.204854510893405,13168,5056,7693,12749,60.34198760687113,39.65801239312887,-2.563459009408564,3.900452958738132
ALABAMA,AL,RANDOLPH,01111,10837,2203,8559,10762,79.52982716967107,20.470172830328934,10187,2291,7705,9996,77.08083233293317,22.919167667066827,3.177177467622583,-10.685356782205135
ALABAMA,AL,RUSSELL,01113,21329,11228,9864,21092,46.76654655793666,53.23345344206334,19256,9579,9210,18789,49.01804247165895,50.98195752834105,-4.5931983412517035,4.416260227886859
ALABAMA,AL,SHELBY,01117,114950,33268,79700,112968,70.55095248211883,29.44904751788117,101254,22977,73020,95997,76.0648770274071,23.935122972592893,-7.2489758227066385,23.036959332116403
ALABAMA,AL,ST. CLAIR,01115,44441,7744,36166,43910,82.36392621270781,17.63607378729219,38400,5589,31651,37240,84.99194414607949,15.008055853920515,-3.092078854973346,17.510715304841874
ALABAMA,AL,SUMTER,01119,6291,4648,1598,6246,25.584373999359592,74.41562600064042,6411,4746,1581,6327,24.988146040777618,75.01185395922238,2.386043196678145,-0.7948449839755733
ALABAMA,AL,TALLADEGA,01121,35663,13138,22235,35373,62.85867752240409,37.14132247759591,33407,12121,20614,32735,62.97235374980907,37.02764625019093,-0.18051767265460095,0.3070036551523714
ALABAMA,AL,TALLAPOOSA,01123,20991,5859,14963,20822,71.8614926520027,28.13850734799731,19486,5519,13594,19113,71.12436561502642,28.87563438497358,1.0363917211804852,-2.5527648229257904
ALABAMA,AL,TUSCALOOSA,01125,90172,37765,51117,88882,57.511082108863434,42.488917891136566,82700,31762,47723,79485,60.04025916839655,39.95974083160345,-4.212468591182239,6.3293129707509
ALABAMA,AL,WALKER,01127,31170,4834,26002,30836,84.32351796601375,15.67648203398625,29472,4497,24266,28763,84.3653304592706,15.634669540729409,-0.049561227377670214,0.2674344548691421
ALABAMA,AL,WASHINGTON,01129,8876,2258,6564,8822,74.40489684878712,25.59510315121288,8533,2374,6042,8416,71.79182509505704,28.208174904942965,3.639790115755104,-9.263526486685937
ALABAMA,AL,WILCOX,01131,5903,4048,1833,5881,31.168168678796125,68.83183132120388,6118,4339,1737,6076,28.58788676761027,71.41211323238973,9.025787502800942,-3.6132272164934864
ALABAMA,AL,WINSTON,01133,11284,974,10195,11169,91.27943414808846,8.720565851911541,10313,872,9228,10100,91.36633663366337,8.633663366336634,-0.09511433726773211,1.0065540187001787
ALASKA,AK,DISTRICT 1,02001,7314,3477,3511,6988,50.24327418431597,49.75672581568403,6638,2573,3180,5753,55.27550843038415,44.72449156961585,-9.103913087305104,11.251629855277967
ALASKA,AK,DISTRICT 10,02010,11205,2727,8081,10808,74.76868985936343,25.231310140636566,9040,1808,6255,8063,77.5765843978668,22.4234156021332,-3.6195129758517353,12.522153575195038
ALASKA,AK,DISTRICT 11,02011,10628,3130,7096,10226,69.39174652845688,30.608253471543126,9689,2142,6444,8586,75.05241090146751,24.947589098532493,-7.542281860128696,22.690226100219093
ALASKA,AK,DISTRICT 12,02012,11238,2957,7893,10850,72.74654377880184,27.253456221198157,9543,1928,6629,8557,77.4687390440575,22.531260955942503,-6.095613951545142,20.958415396676667
ALASKA,AK,DISTRICT 13,02013,7713,2666,4652,7318,63.569281224378244,36.430718775621756,6533,1684,4028,5712,70.51820728291317,29.481792717086833,-9.854087797008804,23.57022900614696
ALASKA,AK,DISTRICT 14,02014,11443,4261,6714,10975,61.1753986332574,38.8246013667426,10420,3043,5978,9021,66.26759782729188,33.73240217270813,-7.684297244795091,15.09586885618961
ALASKA,AK,DISTRICT 15,02015,5559,2622,2671,5293,50.46287549593803,49.53712450406197,4982,1828,2525,4353,58.005972892258214,41.994027107741786,-13.004001174725454,17.962310156554583
ALASKA,AK,DISTRICT 16,02016,8118,4274,3516,7790,45.13478818998716,54.86521181001284,7436,3294,3203,6497,49.29967677389564,50.70032322610436,-8.448105254340742,8.2147180114309
ALASKA,AK,DISTRICT 17,02017,7239,4136,2810,6946,40.45493809386697,59.54506190613303,6788,3290,2618,5908,44.312796208530806,55.687203791469194,-8.705968579615709,6.927728188885696
ALASKA,AK,DISTRICT 18,02018,7720,4681,2760,7441,37.09178873807284,62.90821126192716,7402,3909,2684,6593,40.709843773699376,59.290156226300624,-8.88742058490527,6.102286224069009
ALASKA,AK,DISTRICT 19,02019,5301,3118,1975,5093,38.77871588454742,61.22128411545258,4792,2669,1636,4305,38.00232288037166,61.99767711962834,2.0430145983964865,-1.252293699129503
ALASKA,AK,DISTRICT 2,02002,6136,2104,3674,5778,63.58601592246452,36.41398407753548,5492,1585,3188,4773,66.79237376911796,33.20762623088204,-4.800484944189732,9.655486436641558
ALASKA,AK,DISTRICT 20,02020,7497,4881,2383,7264,32.805616740088105,67.19438325991189,7140,4151,2187,6338,34.5061533606816,65.49384663931839,-4.928212666356457,2.5964830405496464
ALASKA,AK,DISTRICT 21,02021,9429,5414,3690,9104,40.53163444639719,59.46836555360281,8647,4224,3479,7703,45.16422173179281,54.83577826820719,-10.257206053291878,8.448110762169136
ALASKA,AK,DISTRICT 22,02022,9520,4553,4684,9237,50.709104687669154,49.290895312330846,8372,3270,4203,7473,56.24247290244882,43.75752709755118,-9.838415576742431,12.645523140381787
ALASKA,AK,DISTRICT 23,02023,7739,3810,3655,7465,48.96182183523108,51.03817816476892,6924,2894,3246,6140,52.86644951140065,47.13355048859935,-7.385833004214781,8.28417896740885
ALASKA,AK,DISTRICT 24,02024,10428,4736,5378,10114,53.17381846944829,46.82618153055171,9080,3578,4709,8287,56.82394111258598,43.17605888741402,-6.42356473639456,8.454043136859134
